model_type,languages,wer,cer,model_key
monolingual,zu,0.9960970722216397,0.97208431197478,zulu_results
multilingual,"zu,nr,ss",0.9672435842782846,0.9393947426551801,zulu_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,nr",0.9668060870339058,0.927910438342842,zulu_nguni_multilingual_zu_nr_whisper_results
multilingual,"zu,ss",0.9997466831322631,0.9739631083718991,zulu_nguni_multilingual_zu_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.9683283930656607,0.9442215707452554,zulu_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.9701287250925763,0.9416773443365075,zulu_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.9752622204630912,0.9536693480017704,zulu_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.9498010644344546,0.9117089357667694,zulu_nguni_multilingual_zu_xh_whisper_results
monolingual,xh,0.9998643331976665,0.9813350120281481,xhosa_results
multilingual,"xh,nr,ss",0.971703531455307,0.9511234198418725,xhosa_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,nr",0.972029054690423,0.9484547581974304,xhosa_nguni_multilingual_xh_nr_whisper_results
multilingual,"xh,ss",0.9728597974299249,0.9537260032517999,xhosa_nguni_multilingual_xh_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.9879072251468681,0.943505696139316,xhosa_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.9878541762805723,0.9427477401205467,xhosa_nguni_multilingual_zu_xh_nr_whisper_results
multilingual,"zu,xh,ss",0.9894279137181345,0.9535750167448092,xhosa_nguni_multilingual_zu_xh_ss_whisper_results
multilingual,"zu,xh",0.9805805862894947,0.914134377974261,xhosa_nguni_multilingual_zu_xh_whisper_results
monolingual,nr,0.96264012616683,0.926729349140218,ndebele_results
multilingual,"nr,ss",0.9578137436985938,0.939033929903898,ndebele_nguni_multilingual_nr_ss_whisper_results
multilingual,"xh,nr,ss",0.9916572398190046,0.9506547351539024,ndebele_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,nr",0.9920596697909334,0.9474262241626058,ndebele_nguni_multilingual_xh_nr_whisper_results
multilingual,"zu,nr,ss",0.9869321831696797,0.9368634539923284,ndebele_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,nr",0.9836399691528038,0.9079770754526545,ndebele_nguni_multilingual_zu_nr_whisper_results
multilingual,"zu,xh,nr,ss",0.9862048113082752,0.9375773154470238,ndebele_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,nr",0.9865912615160084,0.9333429434659434,ndebele_nguni_multilingual_zu_xh_nr_whisper_results
monolingual,ss,0.9803624232314808,0.9458729346311772,siswati_results
multilingual,"nr,ss",0.9903316317906764,0.9494620960123922,siswati_nguni_multilingual_nr_ss_whisper_results
multilingual,"xh,nr,ss",0.9950306114335692,0.9554022405636773,siswati_nguni_multilingual_xh_nr_ss_whisper_results
multilingual,"xh,ss",0.9942949547218629,0.9544088530997218,siswati_nguni_multilingual_xh_ss_whisper_results
multilingual,"zu,nr,ss",0.9916007194244605,0.9428603332121271,siswati_nguni_multilingual_zu_nr_ss_whisper_results
multilingual,"zu,ss",0.9999839036796189,0.9709065523522803,siswati_nguni_multilingual_zu_ss_whisper_results
multilingual,"zu,xh,nr,ss",0.9896099898023974,0.9425264258973794,siswati_nguni_multilingual_zu_xh_nr_ss_whisper_results
multilingual,"zu,xh,ss",0.9914640842609694,0.9497345924939913,siswati_nguni_multilingual_zu_xh_ss_whisper_results
